Compound,m/z,Retention time (min),kmd,pass_relfil,pass_blnkfil,average CV,median CV,pass_cvfil,pass_insource,groups,fc,max,logmax,-logp,-logq,logfc
1.85_283.1323m/z,283.1322591,1.8489,0.1322590999999988,True,True,0.1604552032078562,0.1436866404727237,True,True, 0um_Ce 250um_Ce Media,0.0544142088799621,515.2419208222223,2.7120111906116846,8.07540031805635,6.525171965001255,-4.1998727661664
1.99_120.1111m/z,120.1111268,1.991016667,0.1111267999999938,True,True,0.0433370738937307,0.0422599045589596,True,False, Media insource,0.01,560.0661155077778,2.7482392982656947,3.1959013675592574,,-6.643856189774724
0.72_242.9262m/z,242.9262493,0.717083333,0.926249299999995,True,True,0.0236119918481989,0.0260977478918112,True,True, 0um_Ce 250um_Ce Media,0.96005159931029,461.2920965444444,2.663976013774666,0.7578847756856657,0.6935961423974227,-0.05881614731550959
1.24_260.1969m/z,260.1968724,1.24385,0.1968724000000179,False,True,,,True,True, relfil,,,,,,
3.78_448.1375n,449.1448262,3.776516667,0.1448262000000113,True,True,0.0664663279321092,0.0833589216653698,True,True, 0um_Ce,100.0,435.68394695555554,2.6391715583818,0.7169040414293519,0.6591054059029289,6.643856189774724
2.94_300.1744n,601.3561324,2.944283333,0.3561323999999786,True,True,0.2195905901461709,0.1113333621073832,True,True, 0um_Ce 250um_Ce Media,87.5945507217062,437.0811026222223,2.640562029998448,4.510365895897438,3.751990070903376,6.452769217096193
2.59_465.2305m/z,465.2304583,2.588333333,0.2304583000000093,True,True,0.3317296072120588,0.3617091758541936,False,True, 250um_Ce Media cv,0.01,502.9049938444444,2.7014859481846925,9.976900909850524,,-6.643856189774724
4.58_664.2742m/z,664.2741808,4.580283333,0.2741807999999537,True,True,0.0317506612983293,0.0257676768755159,True,False, 0um_Ce 250um_Ce insource,100.0,453.5330526555556,2.6566089431333566,1.0504651781760674,,6.643856189774724
2.61_288.1914m/z,288.1913972,2.60975,0.191397199999983,True,True,0.1810194188022611,0.1538892567606892,True,True, 0um_Ce 250um_Ce Media,0.0253450371118745,501.05335305555553,2.699883972781288,8.00986654578949,6.491822876105798,-5.302152913356584
4.13_303.5742m/z,303.5742371,4.1324,0.5742371000000048,True,True,0.0251625504617682,0.0241618377280257,True,True, 0um_Ce 250um_Ce,100.0,450.31519405555554,2.6535166007119027,2.174901595440454,1.899008753538162,6.643856189774724
