,,,0p8_B,0p8_B,0p8_B,0p8_K,0p8_K,0p8_K,0p8_M,0p8_M,0p8_M,0p8_MK,0p8_MK,0p8_MK,2p5_B,2p5_B,2p5_B,2p5_K,2p5_K,2p5_K,2p5_M,2p5_M,2p5_M,2p5_MK,2p5_MK,2p5_MK,8p0_B,8p0_B,8p0_B,8p0_K,8p0_K,8p0_K,8p0_M,8p0_M,8p0_M,8p0_MK,8p0_MK,8p0_MK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,m/z,Retention time (min),0p8_B1,0p8_B2,0p8_B3,0p8_K1,0p8_K2,0p8_K3,0p8_M1,0p8_M2,0p8_M3,0p8_MK1,0p8_MK2,0p8_MK3,2p5_B1,2p5_B2,2p5_B3,2p5_K1,2p5_K2,2p5_K3,2p5_M1,2p5_M2,2p5_M3,2p5_MK1,2p5_MK2,2p5_MK3,8p0_B1,8p0_B2,8p0_B3,8p0_K1,8p0_K2,8p0_K3,8p0_M1,8p0_M2,8p0_M3,8p0_MK1,8p0_MK2,8p0_MK3
2.518_266.01086,266.01086,2.518,1197864.3333333333,1252179.6666666667,1070585.0,0.0,0.0,0.0,266561.3333333333,0.0,0.0,0.0,0.0,0.0,1516420.0,1501706.6666666667,1416899.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508716.0,770797.3333333334,1031517.3333333334,429775.0,364396.0,534068.6666666666,0.0,0.0,0.0,464821.0,579594.3333333334,372209.0
2.518_397.11087,397.11087,2.518,307668.0,350393.3333333333,258248.0,0.0,0.0,0.0,26760.333333333332,0.0,0.0,0.0,0.0,0.0,1001872.0,795236.3333333334,897066.6666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202902.33333333334,457519.0,1167509.0,250550.33333333334,222172.0,464922.0,0.0,0.0,0.0,362386.3333333333,523798.3333333333,285295.6666666667
2.519_272.02036,272.02036,2.519,805263.0,1375424.0,1444045.6666666667,4927.333333333333,3453.0,4307.666666666667,581822.0,0.0,0.0,1630.6666666666667,3115.6666666666665,1827.6666666666667,1669910.3333333333,1756594.6666666667,1415099.0,0.0,6776.666666666667,5719.666666666667,0.0,0.0,0.0,0.0,2179.0,0.0,1215837.3333333333,1626192.6666666667,2203899.3333333335,1313307.3333333333,1351738.0,1648897.3333333333,0.0,0.0,0.0,1655536.3333333333,1764021.0,1468145.3333333333
2.519_391.09384,391.09384,2.519,502348.3333333333,596284.3333333334,504178.0,0.0,0.0,0.0,41165.666666666664,0.0,0.0,0.0,0.0,0.0,1345355.0,1236246.3333333333,1217805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248066.33333333334,556984.6666666666,1159286.6666666667,265124.0,211545.33333333334,531695.0,0.0,0.0,0.0,423884.0,557134.6666666666,337421.0
2.526_336.07019,336.07019,2.526,0.0,0.0,0.0,127339.0,147662.33333333334,171446.33333333334,0.0,0.0,0.0,146780.66666666666,197371.33333333334,242165.66666666666,0.0,0.0,0.0,167863.66666666666,170277.33333333334,145145.66666666666,0.0,0.0,0.0,234801.33333333334,160555.0,218481.33333333334,0.0,0.0,0.0,55718.0,24638.333333333332,19686.333333333332,0.0,0.0,0.0,15569.0,20666.333333333332,0.0
2.527_320.09665,320.09665,2.527,0.0,0.0,0.0,1057536.0,1351229.0,1393958.3333333333,81548.66666666667,7436.333333333333,6877.0,1161323.0,1792961.6666666667,1802322.6666666667,0.0,0.0,0.0,1523908.0,1527494.0,1429435.6666666667,44425.0,43397.333333333336,26365.0,2148200.0,1446804.6666666667,1799026.3333333333,0.0,4974.0,0.0,1071851.3333333333,550432.0,859708.0,26511.0,24798.666666666668,12153.333333333334,767728.0,598053.6666666666,370947.6666666667
2.527_437.17557,437.17557,2.527,0.0,0.0,0.0,55492.333333333336,110154.0,132961.0,0.0,0.0,0.0,105966.0,189989.66666666666,168239.66666666666,0.0,0.0,0.0,161667.66666666666,170551.0,135015.0,0.0,0.0,0.0,244888.66666666666,144193.33333333334,174884.0,0.0,0.0,0.0,15328.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4828.333333333333
2.529_298.11444,298.11444,2.529,0.0,0.0,0.0,669003.3333333334,835788.0,857348.3333333334,58638.0,2600.0,0.0,687680.6666666666,1089158.6666666667,1031206.3333333334,3205.0,0.0,3106.3333333333335,1074647.3333333333,1047511.6666666666,933299.0,8418.0,14617.0,8316.333333333334,1302223.0,885097.3333333334,1080521.6666666667,0.0,0.0,2831.6666666666665,513933.0,293353.0,384407.3333333333,5693.666666666667,12846.666666666666,3625.3333333333335,344137.3333333333,266115.6666666667,140494.66666666666
2.52_166.08621,166.08621,2.52,990796187.0,743061225.3333334,563913771.6666666,5497568.0,7765433.0,7721824.0,154051716.66666666,1764236.3333333333,1263986.0,6051203.0,7003232.0,7111869.666666667,1185580241.6666667,1049075932.6666666,1024249253.6666666,4748612.0,8710351.666666666,6693692.333333333,1496352.3333333333,1691484.6666666667,1311417.0,5687526.333333333,6981654.666666667,7097496.0,349498634.3333333,484311358.6666667,930992422.3333334,341700956.6666667,294931093.3333333,492419542.6666667,2755335.0,2676962.0,3209492.3333333335,447432051.6666667,510683024.6666667,371543248.0
2.533_382.97186,382.97186,2.533,12129.0,34171.666666666664,20418.333333333332,32991282.0,41898647.333333336,43322522.666666664,558467.0,0.0,0.0,15930928.0,19383518.0,19108593.666666668,32784.666666666664,52073.666666666664,31830.0,18246440.666666668,14857326.0,15007400.333333334,0.0,0.0,0.0,8525993.333333334,7516966.666666667,8349056.0,50255.0,33711.0,30275.666666666668,6928579.0,2129971.0,3220452.0,1570.3333333333333,0.0,0.0,1455558.3333333333,1675301.3333333333,2784934.0
2.534_596.1106,596.1106,2.534,204451.66666666666,137873.33333333334,125114.33333333333,0.0,0.0,0.0,55205.333333333336,47492.333333333336,56048.0,0.0,0.0,0.0,287875.6666666667,321602.6666666667,298025.3333333333,0.0,0.0,0.0,142226.66666666666,107294.33333333333,90192.33333333333,0.0,0.0,1842.0,108400.0,183964.0,275607.3333333333,98635.33333333333,138221.0,201146.66666666666,102908.66666666667,94932.33333333333,84054.0,97818.66666666667,181800.66666666666,105127.0
2.541_590.12445,590.12445,2.541,597245.3333333334,507790.0,361414.6666666667,24462.333333333332,33543.333333333336,25927.666666666668,453768.6666666667,176842.0,167403.0,16715.333333333332,52365.666666666664,53934.0,790700.3333333334,649971.0,693571.3333333334,71188.66666666667,59430.333333333336,39427.333333333336,379030.0,325867.0,271965.6666666667,84325.0,46908.333333333336,79148.33333333333,275951.6666666667,371042.0,624411.0,1364773.6666666667,1432588.3333333333,1865463.0,315602.3333333333,303136.6666666667,256675.0,1101882.0,1559897.3333333333,1133461.6666666667
2.543_290.1712,290.1712,2.543,586253.0,388126.6666666667,236295.66666666666,1841.6666666666667,0.0,0.0,0.0,44000.666666666664,62503.0,0.0,0.0,0.0,1006733.6666666666,844260.3333333334,811713.3333333334,0.0,1892.0,0.0,74263.33333333333,80366.0,72203.0,0.0,0.0,0.0,277838.3333333333,419581.0,895004.3333333334,15101.333333333334,30357.666666666668,94025.66666666667,178939.66666666666,211547.33333333334,162043.66666666666,8960.0,79949.33333333333,23344.333333333332
2.545_373.17194,373.17194,2.545,0.0,0.0,0.0,294179.0,346835.6666666667,383092.6666666667,7532.666666666667,0.0,0.0,283350.0,397314.3333333333,335596.0,0.0,0.0,0.0,290717.6666666667,308793.3333333333,295625.0,0.0,0.0,0.0,280306.3333333333,253475.66666666666,284467.6666666667,0.0,0.0,0.0,0.0,3737.3333333333335,3084.6666666666665,0.0,0.0,0.0,0.0,0.0,0.0
2.54_531.24115,531.24115,2.54,0.0,0.0,0.0,44317.333333333336,34744.333333333336,42545.666666666664,8747.333333333334,42682.666666666664,38740.333333333336,1968.0,16621.666666666668,0.0,0.0,0.0,0.0,67496.0,108759.33333333333,72714.66666666667,46394.333333333336,75231.0,33469.0,47514.0,29695.333333333332,56375.666666666664,0.0,0.0,0.0,0.0,9240.333333333334,100276.66666666667,100467.33333333333,83822.0,75456.33333333333,0.0,6590.333333333333,4206.333333333333
2.552_755.20099,755.20099,2.552,0.0,0.0,0.0,139069.66666666666,102043.66666666667,119431.66666666667,74818.33333333333,0.0,0.0,102288.0,153212.33333333334,93864.0,0.0,0.0,0.0,198751.66666666666,199530.0,168227.33333333334,0.0,0.0,0.0,163041.66666666666,225030.66666666666,200408.66666666666,0.0,0.0,0.0,4331.0,0.0,6335.0,0.0,0.0,0.0,0.0,3603.3333333333335,0.0
2.553_1493.42932,1493.42932,2.553,0.0,0.0,0.0,98957.33333333333,82881.66666666667,94886.66666666667,23608.333333333332,0.0,0.0,107609.33333333333,119646.0,95192.33333333333,0.0,0.0,0.0,233352.66666666666,205660.0,212477.66666666666,0.0,0.0,0.0,183300.66666666666,277765.0,232231.33333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2904.0,6596.333333333333,0.0
2.553_199.10774,199.10774,2.553,1828006.0,1588134.0,1167191.6666666667,753516.0,901962.3333333334,877124.3333333334,452651.0,384186.6666666667,440483.6666666667,757604.6666666666,1191331.3333333333,1073923.0,2383447.3333333335,2195038.0,2189248.0,1082941.3333333333,1115305.3333333333,957162.6666666666,1045440.3333333334,997387.6666666666,834514.0,1403218.0,847716.0,1214449.6666666667,705752.3333333334,1037471.0,1813188.6666666667,965579.0,715767.6666666666,1224762.6666666667,853848.6666666666,839027.6666666666,730341.6666666666,1038221.3333333334,1256278.6666666667,928269.3333333334
2.558_318.20197,318.20197,2.558,142819.33333333334,168326.66666666666,118992.0,0.0,10516.0,14117.666666666666,0.0,2266.0,0.0,3444.0,6360.666666666667,2740.0,314696.6666666667,256813.66666666666,274803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54493.0,108391.66666666667,249538.66666666666,0.0,0.0,0.0,2195.6666666666665,0.0,0.0,0.0,0.0,0.0
2.559_895.42609,895.42609,2.559,0.0,0.0,0.0,264048.6666666667,268276.0,315659.0,0.0,0.0,0.0,167251.0,370403.0,354732.3333333333,0.0,0.0,0.0,225283.33333333334,252422.33333333334,220031.33333333334,0.0,0.0,0.0,238729.33333333334,117324.66666666667,195845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.55_272.16046,272.16046,2.55,899954.3333333334,649630.6666666666,460740.3333333333,12722.333333333334,20995.333333333332,19278.0,4870.666666666667,190071.66666666666,224402.0,7179.333333333333,23743.333333333332,20121.0,1306468.3333333333,1266060.0,1301758.3333333333,42495.666666666664,52100.333333333336,30058.666666666668,649913.6666666666,557549.3333333334,446053.3333333333,24413.666666666668,6802.0,41427.666666666664,355847.0,565118.6666666666,1137241.0,481681.3333333333,225520.33333333334,500533.3333333333,607024.6666666666,681115.3333333334,519978.3333333333,390420.3333333333,414169.6666666667,188163.33333333334
2.563_209.1286,209.1286,2.563,213703.0,287693.3333333333,256005.0,318142.0,363647.0,411979.6666666667,108447.66666666667,122750.33333333333,122955.0,307907.3333333333,596353.3333333334,499714.0,616313.3333333334,563149.0,753490.0,487090.6666666667,488521.3333333333,475077.3333333333,387233.6666666667,259539.66666666666,207242.66666666666,605361.0,401066.3333333333,581656.0,240630.0,432056.3333333333,582964.3333333334,414799.6666666667,271545.6666666667,454077.6666666667,262228.0,293803.3333333333,218510.0,356136.0,494479.6666666667,303300.3333333333
2.566_328.03818,328.03818,2.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104351.0,94606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.567_357.03793,357.03793,2.567,0.0,0.0,0.0,0.0,0.0,0.0,2554.0,152223.0,110318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.568_595.06598,595.06598,2.568,715670.0,622670.0,453397.3333333333,0.0,0.0,0.0,147899.0,142930.33333333334,156475.66666666666,0.0,0.0,0.0,1050089.3333333333,960858.6666666666,963515.3333333334,0.0,0.0,0.0,256751.66666666666,225059.0,190538.33333333334,0.0,0.0,0.0,282559.6666666667,472675.0,808408.3333333334,242739.0,413687.6666666667,656763.3333333334,252309.66666666666,274169.6666666667,227691.66666666666,233012.0,549795.0,377100.0
2.569_282.11917,282.11917,2.569,279383.0,254979.0,154177.33333333334,0.0,0.0,0.0,2536.3333333333335,0.0,0.0,0.0,0.0,0.0,510849.3333333333,392474.6666666667,393155.3333333333,0.0,0.0,1724.0,0.0,0.0,1727.0,1744.3333333333333,0.0,0.0,110438.0,128341.66666666667,354070.3333333333,0.0,0.0,3488.6666666666665,0.0,1601.0,0.0,0.0,0.0,0.0
2.569_613.15088,613.15088,2.569,722420.6666666666,637284.6666666666,489836.6666666667,0.0,0.0,0.0,234253.33333333334,168421.33333333334,164827.0,0.0,0.0,0.0,1037672.6666666666,930308.0,963504.0,0.0,0.0,0.0,319263.3333333333,283367.3333333333,233156.33333333334,0.0,0.0,0.0,366727.6666666667,506787.3333333333,905157.0,437649.6666666667,813468.3333333334,1168584.3333333333,308568.0,326122.6666666667,281189.0,507921.3333333333,1003869.6666666666,725223.0
2.569_635.13348,635.13348,2.569,75486.33333333333,73644.66666666667,74174.0,0.0,0.0,0.0,26813.666666666668,13189.333333333334,29916.333333333332,0.0,0.0,0.0,187202.33333333334,147916.0,164037.66666666666,0.0,0.0,0.0,67117.66666666667,57812.666666666664,33047.333333333336,0.0,0.0,0.0,67111.66666666667,95319.33333333333,181649.0,81723.66666666667,141383.0,247550.66666666666,64697.666666666664,49361.333333333336,51677.666666666664,85013.66666666667,188447.66666666666,150333.33333333334
2.571_462.10144,462.10144,2.571,1427460.3333333333,1123099.3333333333,870708.6666666666,0.0,0.0,0.0,417280.6666666667,312685.6666666667,342884.6666666667,0.0,0.0,0.0,1837070.0,1625900.6666666667,1599922.6666666667,1897.6666666666667,0.0,0.0,595948.6666666666,538762.0,442364.0,1595.3333333333333,0.0,0.0,654355.3333333334,921137.6666666666,1377298.0,651796.3333333334,1100449.6666666667,1500718.6666666667,586370.0,591921.3333333334,517359.6666666667,687166.6666666666,1361939.6666666667,992742.6666666666
2.571_573.0824,573.0824,2.571,92216.0,96134.66666666667,64141.666666666664,0.0,0.0,0.0,137271.66666666666,20013.666666666668,18209.333333333332,0.0,0.0,0.0,157624.33333333334,153677.0,145833.0,0.0,0.0,0.0,60059.0,52088.0,35850.0,0.0,0.0,0.0,24835.333333333332,75637.33333333333,146451.66666666666,481890.0,431891.6666666667,601302.0,47555.0,48700.666666666664,45866.0,374968.3333333333,422907.3333333333,295156.0
2.572_262.09201,262.09201,2.572,0.0,0.0,0.0,0.0,0.0,0.0,9284.666666666666,7647731.333333333,6890148.333333333,0.0,0.0,0.0,0.0,0.0,0.0,2877.0,7245.666666666667,6673.0,99425.0,89840.66666666667,69165.66666666667,0.0,1935.3333333333333,0.0,0.0,0.0,0.0,45278.0,35004.0,78852.33333333333,118330.0,85707.66666666667,121615.66666666667,0.0,0.0,0.0
2.584_310.12817,310.12817,2.584,2281894.3333333335,1572792.0,1337963.3333333333,645421.6666666666,623847.0,685530.0,486048.6666666667,236013.33333333334,259785.33333333334,500225.0,1121280.0,842710.3333333334,3345340.3333333335,2680146.0,2989171.6666666665,936218.3333333334,730445.0,641709.6666666666,630975.6666666666,640695.3333333334,506736.3333333333,1428693.0,890735.3333333334,1266398.6666666667,764010.3333333334,1209581.3333333333,1974481.3333333333,1157812.6666666667,892174.3333333334,1303177.3333333333,403152.0,528339.6666666666,298498.0,1255430.0,1525303.6666666667,1210137.6666666667
2.584_610.28247,610.28247,2.584,0.0,0.0,0.0,617492.3333333334,828918.3333333334,853729.6666666666,57984.666666666664,24012.666666666668,35549.666666666664,284733.3333333333,559183.0,459722.6666666667,0.0,0.0,0.0,1138215.0,1170232.0,950830.6666666666,124927.0,155825.33333333334,98551.66666666667,629955.6666666666,416218.6666666667,515224.3333333333,0.0,0.0,0.0,828728.3333333334,620273.3333333334,1021012.0,163674.33333333334,153921.33333333334,79809.66666666667,378444.6666666667,414046.0,325840.0
2.588_298.11453,298.11453,2.588,0.0,0.0,0.0,442698.6666666667,547866.3333333334,603448.6666666666,28492.0,2600.0,0.0,480529.6666666667,750253.3333333334,683593.3333333334,3205.0,0.0,3106.3333333333335,761591.0,749000.0,664638.6666666666,5463.666666666667,11005.666666666666,8686.0,896439.6666666666,599317.3333333334,849098.3333333334,0.0,0.0,2831.6666666666665,394340.0,162764.66666666666,237859.33333333334,5693.666666666667,12846.666666666666,3625.3333333333335,231239.33333333334,197341.0,129428.0
2.588_673.3139,673.3139,2.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102234.66666666667,195342.33333333334,392998.6666666667,0.0,0.0,0.0,18584.666666666668,113784.0,77137.66666666667
2.594_629.14563,629.14563,2.594,62007.333333333336,51052.333333333336,27779.666666666668,0.0,0.0,0.0,71892.66666666667,13631.333333333334,2797.0,0.0,0.0,0.0,88745.66666666667,78893.0,91725.0,0.0,0.0,0.0,31581.333333333332,31971.0,18807.0,0.0,0.0,0.0,69350.66666666667,85929.33333333333,139550.66666666666,335331.0,500370.3333333333,657599.0,36936.0,34844.0,43206.666666666664,311589.3333333333,575200.3333333334,468132.0
2.595_452.09439,452.09439,2.595,146842.0,102812.66666666667,91409.66666666667,0.0,0.0,0.0,0.0,65052.0,45717.0,0.0,0.0,0.0,197262.33333333334,209571.33333333334,198269.33333333334,0.0,0.0,0.0,66154.0,88538.33333333333,63139.666666666664,0.0,0.0,0.0,134474.66666666666,163037.0,278399.3333333333,0.0,0.0,0.0,90113.66666666667,114879.0,79069.0,0.0,0.0,0.0
2.597_651.12872,651.12872,2.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2305.3333333333335,0.0,29371.333333333332,55931.666666666664,84459.33333333333,0.0,0.0,0.0,36273.333333333336,80797.66666666667,60048.333333333336
2.601_470.23666,470.23666,2.601,0.0,0.0,0.0,0.0,0.0,0.0,51122.333333333336,56084.666666666664,66946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70722.33333333333,88381.66666666667,57845.333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14048.666666666666,124332.66666666667,129376.66666666667,148486.33333333334,88227.33333333333,0.0,0.0,0.0
2.603_211.10774,211.10774,2.603,120380.66666666667,100654.0,90132.66666666667,1137461.0,1326650.0,1423685.0,101612.66666666667,72637.33333333333,50280.666666666664,662175.6666666666,905871.0,704063.3333333334,343265.6666666667,291349.0,237839.33333333334,1367847.0,1448073.0,1221169.3333333333,233756.66666666666,194105.33333333334,191614.66666666666,774717.6666666666,557859.0,683895.6666666666,81721.66666666667,126337.0,359423.0,590856.0,369033.0,596873.6666666666,215236.66666666666,172455.66666666666,151458.0,274804.3333333333,314535.6666666667,253481.66666666666
2.606_390.18634,390.18634,2.606,296206.0,71136.33333333333,44154.666666666664,72204.33333333333,78040.33333333333,70213.0,0.0,70642.66666666667,69284.33333333333,40864.666666666664,104588.66666666667,87277.66666666667,430327.3333333333,234609.0,314147.0,118433.66666666667,156586.33333333334,124834.0,3887.3333333333335,3519.3333333333335,3224.0,76528.66666666667,84423.33333333333,87941.66666666667,185679.33333333334,239917.33333333334,427979.0,99636.33333333333,19608.0,21747.333333333332,71845.0,67699.66666666667,70093.66666666667,30627.0,69544.66666666667,39594.0
2.606_441.72507,441.72507,2.606,0.0,3334.3333333333335,0.0,0.0,0.0,0.0,4953.0,1828.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396048.0,270720.3333333333,465230.3333333333,2162.6666666666665,0.0,0.0,214068.33333333334,293751.3333333333,158870.33333333334
2.606_764.36682,764.36682,2.606,0.0,0.0,0.0,81924.66666666667,106767.66666666667,104896.0,0.0,0.0,0.0,72308.0,101139.66666666667,175734.0,0.0,0.0,0.0,40031.666666666664,53386.333333333336,52171.0,0.0,0.0,0.0,49114.666666666664,27749.666666666668,46216.333333333336,0.0,0.0,0.0,210231.0,22390.0,105867.33333333333,0.0,0.0,0.0,84156.33333333333,108318.0,107404.0
2.618_304.89587,304.89587,2.618,118949.33333333333,197371.0,98941.0,1742972.0,2015077.3333333333,2385816.3333333335,1149961.0,139642.0,79837.66666666667,2027119.6666666667,2433401.3333333335,2340737.6666666665,99648.33333333333,127418.0,168937.66666666666,1349654.6666666667,3739576.6666666665,3462260.3333333335,119217.66666666667,99081.66666666667,103752.0,3115258.6666666665,3742600.0,6267299.666666667,103583.0,134068.33333333334,114689.0,12364058.666666666,4900995.333333333,8766692.666666666,62238.333333333336,96700.33333333333,68137.33333333333,2177842.3333333335,2626263.0,2746065.6666666665
2.619_283.10318,283.10318,2.619,0.0,0.0,0.0,197118.33333333334,240805.0,261637.66666666666,5240.0,0.0,0.0,185276.66666666666,309966.3333333333,292184.0,0.0,0.0,0.0,335059.0,296705.0,282172.6666666667,0.0,0.0,0.0,387262.3333333333,260257.66666666666,310634.6666666667,0.0,0.0,0.0,92694.0,26302.0,46418.333333333336,0.0,0.0,1967.6666666666667,45628.666666666664,15695.0,2387.6666666666665
2.619_327.11548,327.11548,2.619,4423.666666666667,0.0,0.0,65107.333333333336,80283.66666666667,112189.33333333333,28095.333333333332,0.0,0.0,88718.0,100781.33333333333,101463.33333333333,2983.6666666666665,3531.3333333333335,0.0,39411.666666666664,185381.66666666666,191081.33333333334,2306.6666666666665,0.0,2031.0,157125.66666666666,208906.66666666666,369914.6666666667,0.0,0.0,0.0,737448.3333333334,309924.6666666667,569372.3333333334,0.0,0.0,0.0,120017.66666666667,149954.66666666666,151660.33333333334
2.61_348.17633,348.17633,2.61,390077.3333333333,281517.3333333333,171754.33333333334,5828.666666666667,10483.0,18730.666666666668,0.0,125201.33333333333,115967.66666666667,6458.0,26827.666666666668,14622.333333333334,654178.3333333334,606769.6666666666,487908.3333333333,10889.333333333334,12511.666666666666,13657.0,263483.0,296266.3333333333,226871.66666666666,19514.666666666668,4995.666666666667,14670.666666666666,151398.0,259702.66666666666,501505.6666666667,33859.333333333336,16745.0,23868.333333333332,318356.0,298528.0,247034.0,65012.333333333336,28395.666666666668,25710.333333333332
2.629_286.17569,286.17569,2.629,733595.3333333334,604080.0,413705.3333333333,3599.3333333333335,6015.666666666667,1666.3333333333333,1799.6666666666667,114220.66666666667,132479.66666666666,0.0,2155.3333333333335,3796.3333333333335,1030898.6666666666,1007972.3333333334,1010298.3333333334,9014.666666666666,6294.333333333333,3543.6666666666665,193442.33333333334,169233.0,132473.0,0.0,0.0,0.0,291464.3333333333,477233.0,900874.0,120059.0,47965.666666666664,169137.0,247293.0,275971.0,207458.66666666666,127510.66666666667,143359.66666666666,88661.66666666667
2.629_511.25122,511.25122,2.629,0.0,0.0,0.0,68637.33333333333,108120.0,220078.0,4329.333333333333,0.0,2098.3333333333335,32401.666666666668,57040.666666666664,32266.0,0.0,0.0,2816.6666666666665,168117.33333333334,170973.33333333334,146877.33333333334,57008.0,66261.33333333333,39967.333333333336,33506.0,7282.333333333333,19309.666666666668,0.0,0.0,0.0,361827.0,185331.33333333334,258420.66666666666,74055.66666666667,44274.666666666664,45961.666666666664,120412.0,115775.0,74128.66666666667
2.631_1020.36353,1020.36353,2.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49226.333333333336,75186.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.631_169.09706,169.09706,2.631,9049091.0,7071284.0,4967453.0,2757906.0,3387537.3333333335,4037463.3333333335,1874539.3333333333,1672375.3333333333,1429215.6666666667,2631553.3333333335,4849871.0,4261501.0,9314186.333333334,8560947.0,8495855.666666666,4440870.666666667,4789521.333333333,3855015.6666666665,3602279.3333333335,2908800.3333333335,2691410.3333333335,5887634.666666667,3410476.3333333335,5016236.666666667,2607491.3333333335,4140652.0,6462846.333333333,3503187.3333333335,2918196.0,4723068.333333333,2622663.3333333335,2808826.0,2444778.3333333335,3898847.3333333335,4700889.666666667,3481217.3333333335
2.635_221.092,221.092,2.635,387832.6666666667,320324.6666666667,145931.33333333334,96978.66666666667,152912.66666666666,101430.33333333333,528571.3333333334,88193.66666666667,66272.33333333333,67629.0,118581.33333333333,147893.66666666666,530064.3333333334,429145.0,561728.3333333334,108397.33333333333,96861.0,70012.0,104161.66666666667,44369.0,31621.0,137828.0,52338.666666666664,72216.0,128099.33333333333,252225.0,516477.3333333333,1081177.0,1153536.6666666667,1595617.0,135337.33333333334,97714.66666666667,100606.33333333333,1233742.0,1709398.3333333333,1230577.6666666667
2.636_590.12408,590.12408,2.636,453099.3333333333,376310.6666666667,276135.3333333333,0.0,0.0,0.0,476810.3333333333,103438.66666666667,116751.0,0.0,0.0,0.0,581620.3333333334,502584.6666666667,498605.0,0.0,0.0,0.0,218524.66666666666,203530.0,173975.0,0.0,0.0,0.0,205346.66666666666,289930.3333333333,489777.6666666667,1160455.3333333333,1470250.0,1867974.3333333333,205425.0,221951.66666666666,189202.66666666666,1035664.6666666666,1506369.0,1089631.6666666667
2.63_294.07568,294.07568,2.63,237274.66666666666,202102.66666666666,139821.66666666666,75024.0,102108.66666666667,104306.66666666667,26521.333333333332,18061.0,14665.333333333334,51806.333333333336,135338.0,104811.33333333333,269887.0,250449.33333333334,249199.66666666666,131568.0,123435.33333333333,140132.0,73063.0,62909.666666666664,47795.333333333336,179742.66666666666,96412.33333333333,156683.0,50639.0,115640.33333333333,181532.0,95744.0,53622.333333333336,134876.66666666666,64125.333333333336,77701.33333333333,36076.333333333336,116640.33333333333,122969.33333333333,85873.66666666667
2.649_227.10251,227.10251,2.649,1334925.3333333333,1193085.3333333333,889863.6666666666,500418.3333333333,650710.0,914817.3333333334,336765.3333333333,260498.0,308111.0,597278.0,830900.6666666666,796932.0,1694378.6666666667,1438802.0,1333609.6666666667,993898.6666666666,810209.6666666666,680656.3333333334,570713.0,647589.0,492919.3333333333,1239556.0,751558.3333333334,917398.0,387907.6666666667,730508.3333333334,1089454.0,556217.0,478122.3333333333,825445.6666666666,560361.3333333334,486154.0,415402.0,762303.6666666666,872931.6666666666,768720.6666666666
2.651_342.08807,342.08807,2.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100684.33333333333,90715.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2845.3333333333335,0.0,0.0,0.0
